date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:22:14	22927/22927	---MC-	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2022:22:25%20GMT	https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq	C:/Users/david/Documents/websites/sismo%20sentido%20web/sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet2edb.html	(from )
17:22:14	68/68	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Aug%202024%2022:22:26%20GMT	https://sismosentido.sgc.gov.co/robots.txt		(from )
17:22:15	35973/35973	---M-Z	200	added ('OK')	text/css	etag:W/%2228feccc0-8c85%22	http://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	C:/Users/david/Documents/websites/sismo%20sentido%20web/code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	(from https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq)
17:22:15	144/144	---M--	200	added ('OK')	text/css	date:Tue,%2030%20Aug%202022%2014:13:26%20GMT	https://sismosentido.sgc.gov.co/css/formulario.css	C:/Users/david/Documents/websites/sismo%20sentido%20web/sismosentido.sgc.gov.co/css/formulario.css	(from https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq)
17:22:15	282988/282988	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20Aug%202022%2014:13:28%20GMT	https://sismosentido.sgc.gov.co/js/_externos/jquery/jquery-1.10.2.js	C:/Users/david/Documents/websites/sismo%20sentido%20web/sismosentido.sgc.gov.co/js/_externos/jquery/jquery-1.10.2.js	(from https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq)
17:22:15	451109/451109	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20Aug%202022%2014:13:26%20GMT	https://sismosentido.sgc.gov.co/js/_externos/jquery/jquery-ui-1.10.2.js	C:/Users/david/Documents/websites/sismo%20sentido%20web/sismosentido.sgc.gov.co/js/_externos/jquery/jquery-ui-1.10.2.js	(from https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq)
17:22:16	670/670	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20May%202024%2018:19:48%20GMT	https://sismosentido.sgc.gov.co/js/conexiones.js?v=224	C:/Users/david/Documents/websites/sismo%20sentido%20web/sismosentido.sgc.gov.co/js/conexiones48d5.js	(from https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq)
17:22:16	4296/4296	---M--	200	added ('OK')	application/javascript	date:Tue,%2023%20Jul%202024%2022:22:54%20GMT	https://sismosentido.sgc.gov.co/js/formulario_nuevo_izq.js?v=224	C:/Users/david/Documents/websites/sismo%20sentido%20web/sismosentido.sgc.gov.co/js/formulario_nuevo_izq48d5.js	(from https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq)
17:22:16	5387/5387	---M--	200	added ('OK')	application/javascript	date:Tue,%2023%20Jul%202024%2022:10:42%20GMT	https://sismosentido.sgc.gov.co/js/validacion.js?v=224	C:/Users/david/Documents/websites/sismo%20sentido%20web/sismosentido.sgc.gov.co/js/validacion48d5.js	(from https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq)
17:22:16	4692/4692	---M--	200	added ('OK')	application/javascript	date:Tue,%2025%20Jun%202024%2016:11:00%20GMT	https://sismosentido.sgc.gov.co/js/general.js?v=224	C:/Users/david/Documents/websites/sismo%20sentido%20web/sismosentido.sgc.gov.co/js/general48d5.js	(from https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq)
17:22:16	2712/2712	---M--	200	added ('OK')	application/javascript	date:Fri,%2031%20May%202024%2015:21:52%20GMT	https://sismosentido.sgc.gov.co/js/selector_tabla.js?v=224	C:/Users/david/Documents/websites/sismo%20sentido%20web/sismosentido.sgc.gov.co/js/selector_tabla48d5.js	(from https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq)
17:22:17	797/797	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20Aug%202022%2014:13:26%20GMT	https://sismosentido.sgc.gov.co/js/i18n_es.js?v=224	C:/Users/david/Documents/websites/sismo%20sentido%20web/sismosentido.sgc.gov.co/js/i18n_es48d5.js	(from https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq)
17:22:17	854/854	---M--	200	added ('OK')	application/javascript	date:Tue,%2025%20Jun%202024%2015:35:12%20GMT	https://sismosentido.sgc.gov.co/js/controles.js?v=224	C:/Users/david/Documents/websites/sismo%20sentido%20web/sismosentido.sgc.gov.co/js/controles48d5.js	(from https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq)
17:22:17	870/870	---MC-	200	added ('OK')	text/javascript	date:Mon,%2012%20Aug%202024%2022:22:17%20GMT	https://www.google.com/recaptcha/api.js	C:/Users/david/Documents/websites/sismo%20sentido%20web/www.google.com/recaptcha/api.js	(from https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq)
17:22:18	167/167	---M--	301	error ('Moved%20Permanently')	text/javascript	date:Mon,%2012%20Aug%202024%2022:22:18%20GMT	http://cdn.appdynamics.com/adrum/adrum-4.5.12.2461.js	C:/Users/david/Documents/websites/sismo%20sentido%20web/cdn.appdynamics.com/adrum/adrum-4.5.12.2461.d.delayed	(from https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq)
17:22:18	94877/94877	---MCZ	200	added ('OK')	text/javascript	etag:W/%22086cdc21c6e1cf86cc28587e627f158f%22	https://cdn.appdynamics.com/adrum/adrum-4.5.12.2461.js	C:/Users/david/Documents/websites/sismo%20sentido%20web/cdn.appdynamics.com/adrum/adrum-4.5.12.2461.js	(from https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq)
17:22:18	13182/13182	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jul%202024%2017:10:26%20GMT	https://sismosentido.sgc.gov.co/img/pattern_peq_bn.png	C:/Users/david/Documents/websites/sismo%20sentido%20web/sismosentido.sgc.gov.co/img/pattern_peq_bn.png	(from https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq)
17:22:18	9463/9463	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2014:13:26%20GMT	https://sismosentido.sgc.gov.co/img/pattern_peq.png	C:/Users/david/Documents/websites/sismo%20sentido%20web/sismosentido.sgc.gov.co/img/pattern_peq.png	(from https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq)
17:22:18	17171/17171	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2014:13:26%20GMT	https://sismosentido.sgc.gov.co/img/mundo.png	C:/Users/david/Documents/websites/sismo%20sentido%20web/sismosentido.sgc.gov.co/img/mundo.png	(from https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq)
17:22:19	24653/24653	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jul%202024%2016:48:16%20GMT	https://sismosentido.sgc.gov.co/img/logo_sgc_transparente_blanco.png	C:/Users/david/Documents/websites/sismo%20sentido%20web/sismosentido.sgc.gov.co/img/logo_sgc_transparente_blanco.png	(from https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq)
17:22:21	7006/7006	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1b5e%22	http://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_444444_256x240.png	C:/Users/david/Documents/websites/sismo%20sentido%20web/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_444444_256x240.png	(from http://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
17:22:21	7001/7001	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1b59%22	http://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_555555_256x240.png	C:/Users/david/Documents/websites/sismo%20sentido%20web/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_555555_256x240.png	(from http://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
17:22:21	6313/6313	---M--	200	added ('OK')	image/png	etag:%2228feccc0-18a9%22	http://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_ffffff_256x240.png	C:/Users/david/Documents/websites/sismo%20sentido%20web/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_ffffff_256x240.png	(from http://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
17:22:21	4632/4632	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1218%22	http://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777620_256x240.png	C:/Users/david/Documents/websites/sismo%20sentido%20web/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777620_256x240.png	(from http://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
17:22:22	4632/4632	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1218%22	http://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_cc0000_256x240.png	C:/Users/david/Documents/websites/sismo%20sentido%20web/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_cc0000_256x240.png	(from http://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
17:22:22	7013/7013	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1b65%22	http://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777777_256x240.png	C:/Users/david/Documents/websites/sismo%20sentido%20web/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777777_256x240.png	(from http://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
17:22:22	122489/122489	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2014:13:26%20GMT	https://sismosentido.sgc.gov.co/img/gracias.png	C:/Users/david/Documents/websites/sismo%20sentido%20web/sismosentido.sgc.gov.co/img/gracias.png	(from https://sismosentido.sgc.gov.co/EvaluacionIntensidadesServlet?metodo=irAFormularioNuevoIzq)
